SUMLEV,COUNTY,PLACE,PRIMGEO_FLAG,NAME,POPTYPE,YEAR,POPULATION
162,0,5340,0,Bethania town,POPESTIMATE,2013,338
162,0,5340,0,Bethania town,POPESTIMATE,2014,341
162,0,5340,0,Bethania town,POPESTIMATE,2015,348
162,0,5340,0,Bethania town,POPESTIMATE,2016,352
162,0,5340,0,Bethania town,POPESTIMATE,2017,356
162,0,5460,0,Bethel town,CENSUSPOP,2010,1577
162,0,5460,0,Bethel town,ESTIMATESBASE,2010,1577
162,0,5460,0,Bethel town,POPESTIMATE,2010,1581
162,0,5460,0,Bethel town,POPESTIMATE,2011,1594
162,0,5460,0,Bethel town,POPESTIMATE,2012,1608
162,0,5460,0,Bethel town,POPESTIMATE,2013,1610
162,0,5460,0,Bethel town,POPESTIMATE,2014,1612
162,0,5460,0,Bethel town,POPESTIMATE,2015,1606
162,0,5460,0,Bethel town,POPESTIMATE,2016,1612
162,0,5460,0,Bethel town,POPESTIMATE,2017,1612
162,0,5660,0,Beulaville town,CENSUSPOP,2010,1296
162,0,5660,0,Beulaville town,ESTIMATESBASE,2010,1298
162,0,5660,0,Beulaville town,POPESTIMATE,2010,1303
162,0,5660,0,Beulaville town,POPESTIMATE,2011,1318
162,0,5660,0,Beulaville town,POPESTIMATE,2012,1323
162,0,5660,0,Beulaville town,POPESTIMATE,2013,1325
162,0,5660,0,Beulaville town,POPESTIMATE,2014,1333
162,0,5660,0,Beulaville town,POPESTIMATE,2015,1321
162,0,5660,0,Beulaville town,POPESTIMATE,2016,1328
162,0,5660,0,Beulaville town,POPESTIMATE,2017,1315
162,0,5880,0,Biltmore Forest town,CENSUSPOP,2010,1343
162,0,5880,0,Biltmore Forest town,ESTIMATESBASE,2010,1343
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2010,1345
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2011,1358
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2012,1370
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2013,1387
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2014,1393
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2015,1401
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2016,1409
162,0,5880,0,Biltmore Forest town,POPESTIMATE,2017,1421
